,CITY,CRAIGSLIST_SITE,areas
0,"abilene, TX",abilene,
1,akron / canton,akroncanton,
2,"albany, GA",albanyga,
3,"albany, NY",albany,
4,albuquerque,albuquerque,
5,altoona-johnstown,altoona,
6,"amarillo, TX",amarillo,
7,"ames, IA",ames,
8,anchorage / mat-su,anchorage,
9,"annapolis, MD",annapolis,
10,"ann arbor, MI",annarbor,
11,appleton-oshkosh-FDL,appleton,
12,"asheville, NC",asheville,
13,"ashtabula, OH",ashtabula,
14,"athens, GA",athensga,
15,"athens, OH",athensohio,
16,"atlanta, GA",atlanta,"{'atl': 'atlanta', 'nat': 'otp north', 'eat': 'otp east', 'sat': 'otp south', 'wat': 'otp west'}"
17,"auburn, AL",auburn,
18,"augusta, GA",augusta,
19,"austin, TX",austin,
20,"bakersfield, CA",bakersfield,
21,"baltimore, MD",baltimore,
22,baton rouge,batonrouge,
23,"battle creek, MI",battlecreek,
24,beaumont / port arthur,beaumont,
25,"bellingham, WA",bellingham,
26,"bemidji, MN",bemidji,
27,"bend, OR",bend,
28,"billings, MT",billings,
29,"binghamton, NY",binghamton,
30,"birmingham, AL",bham,
31,"bismarck, ND",bismarck,
32,"bloomington, IN",bloomington,
33,bloomington-normal,bn,
34,"boise, ID",boise,
35,"boone, NC",boone,
36,boston,boston,"{'gbs': 'boston/camb/brook', 'nwb': 'northwest/merrimack', 'bmw': 'metro west', 'nos': 'north shore', 'sob': 'south shore'}"
37,"boulder, CO",boulder,
38,"bowling green, KY",bgky,
39,"bozeman, MT",bozeman,
40,"brainerd, MN",brainerd,
41,"brownsville, TX",brownsville,
42,"brunswick, GA",brunswick,
43,"buffalo, NY",buffalo,
44,"butte, MT",butte,
45,cape cod / islands,capecod,
46,catskills,catskills,
47,"cedar rapids, IA",cedarrapids,
48,central louisiana,cenla,
49,central michigan,centralmich,
50,central NJ,cnj,
51,champaign urbana,chambana,
52,"charleston, SC",charleston,
53,"charleston, WV",charlestonwv,
54,"charlotte, NC",charlotte,
55,"charlottesville, VA",charlottesville,
56,"chattanooga, TN",chattanooga,
57,"chautauqua, NY",chautauqua,
58,chicago,chicago,"{'chc': 'city of chicago', 'nch': 'north chicagoland', 'wcl': 'west chicagoland', 'sox': 'south chicagoland', 'nwi': 'northwest indiana', 'nwc': 'northwest suburbs'}"
59,"chico, CA",chico,
60,"chillicothe, OH",chillicothe,
61,"cincinnati, OH",cincinnati,
62,"clarksville, TN",clarksville,
63,"cleveland, OH",cleveland,
64,clovis / portales,clovis,
65,"college station, TX",collegestation,
66,colorado springs,cosprings,
67,columbia / jeff city,columbiamo,
68,"columbia, SC",columbia,
69,"columbus, GA",columbusga,
70,"columbus, OH",columbus,
71,"cookeville, TN",cookeville,
72,"corpus christi, TX",corpuschristi,
73,corvallis/albany,corvallis,
74,cumberland valley,chambersburg,
75,dallas / fort worth,dallas,"{'dal': 'dallas', 'ftw': 'fort worth', 'mdf': 'mid cities', 'ndf': 'north DFW', 'sdf': 'south DFW'}"
76,danville,danville,
77,daytona beach,daytona,
78,dayton / springfield,dayton,
79,"decatur, IL",decatur,
80,deep east texas,nacogdoches,
81,delaware,delaware,
82,del rio / eagle pass,delrio,
83,"denver, CO",denver,
84,"des moines, IA",desmoines,
85,detroit metro,detroit,"{'mcb': 'macomb co', 'wyn': 'wayne co', 'okl': 'oakland co'}"
86,"dothan, AL",dothan,
87,dubuque,dubuque,
88,duluth / superior,duluth,
89,eastern CO,eastco,
90,eastern CT,newlondon,
91,eastern kentucky,eastky,
92,eastern montana,montana,
93,eastern NC,eastnc,
94,eastern panhandle,martinsburg,
95,eastern shore,easternshore,
96,east idaho,eastidaho,
97,east oregon,eastoregon,
98,"eau claire, WI",eauclaire,
99,"elko, NV",elko,
100,elmira-corning,elmira,
101,"el paso, TX",elpaso,
102,"erie, PA",erie,
103,"eugene, OR",eugene,
104,"evansville, IN",evansville,
105,"fairbanks, AK",fairbanks,
106,fargo / moorhead,fargo,
107,"farmington, NM",farmington,
108,"fayetteville, AR",fayar,
109,"fayetteville, NC",fayetteville,
110,"finger lakes, NY",fingerlakes,
111,flagstaff / sedona,flagstaff,
112,"flint, MI",flint,
113,florence / muscle shoals,shoals,
114,"florence, SC",florencesc,
115,florida keys,keys,
116,fort collins / north CO,fortcollins,
117,"fort dodge, IA",fortdodge,
118,"fort smith, AR",fortsmith,
119,"fort wayne, IN",fortwayne,
120,"frederick, MD",frederick,
121,"fredericksburg, VA",fredericksburg,
122,fresno / madera,fresno,
123,ft myers / SW florida,fortmyers,"{'lee': 'lee county', 'chl': 'charlotte co', 'col': 'collier co'}"
124,gadsden-anniston,gadsden,
125,"gainesville, FL",gainesville,
126,"galveston, TX",galveston,
127,"glens falls, NY",glensfalls,
128,gold country,goldcountry,
129,grand forks,grandforks,
130,"grand island, NE",grandisland,
131,"grand rapids, MI",grandrapids,
132,"great falls, MT",greatfalls,
133,"green bay, WI",greenbay,
134,"greensboro, NC",greensboro,
135,greenville / upstate,greenville,
136,gulfport / biloxi,gulfport,
137,hanford-corcoran,hanford,
138,"harrisburg, PA",harrisburg,
139,"harrisonburg, VA",harrisonburg,
140,"hartford, CT",hartford,
141,"hattiesburg, MS",hattiesburg,
142,hawaii,honolulu,"{'oah': 'oahu', 'big': 'big island', 'mau': 'maui', 'kau': 'kauai', 'mol': 'molokai'}"
143,heartland florida,cfl,
144,"helena, MT",helena,
145,hickory / lenoir,hickory,
146,high rockies,rockies,
147,hilton head,hiltonhead,
148,"holland, MI",holland,
149,"houma, LA",houma,
150,"houston, TX",houston,
151,"hudson valley, NY",hudsonvalley,
152,humboldt county,humboldt,
153,huntington-ashland,huntington,
154,huntsville / decatur,huntsville,
155,imperial county,imperial,
156,indianapolis,indianapolis,
157,"inland empire, CA",inlandempire,
158,"iowa city, IA",iowacity,
159,"ithaca, NY",ithaca,
160,"jackson, MI",jxn,
161,"jackson, MS",jackson,
162,"jackson, TN",jacksontn,
163,"jacksonville, FL",jacksonville,
164,"jacksonville, NC",onslow,
165,"janesville, WI",janesville,
166,jersey shore,jerseyshore,
167,"jonesboro, AR",jonesboro,
168,"joplin, MO",joplin,
169,"kalamazoo, MI",kalamazoo,
170,"kalispell, MT",kalispell,
171,"kansas city, MO",kansascity,
172,kenai peninsula,kenai,
173,kennewick-pasco-richland,kpr,
174,kenosha-racine,racine,
175,killeen / temple / ft hood,killeen,
176,"kirksville, MO",kirksville,
177,"klamath falls, OR",klamath,
178,"knoxville, TN",knoxville,
179,"kokomo, IN",kokomo,
180,"la crosse, WI",lacrosse,
181,"lafayette, LA",lafayette,
182,lafayette / west lafayette,tippecanoe,
183,"lake charles, LA",lakecharles,
184,"lakeland, FL",lakeland,
185,lake of the ozarks,loz,
186,"lancaster, PA",lancaster,
187,"lansing, MI",lansing,
188,"laredo, TX",laredo,
189,la salle co,lasalle,
190,"las cruces, NM",lascruces,
191,las vegas,lasvegas,
192,"lawrence, KS",lawrence,
193,"lawton, OK",lawton,
194,lehigh valley,allentown,
195,lewiston / clarkston,lewiston,
196,"lexington, KY",lexington,
197,lima / findlay,limaohio,
198,"lincoln, NE",lincoln,
199,little rock,littlerock,
200,"logan, UT",logan,
201,"long island, NY",longisland,
202,los angeles,losangeles,"{'wst': 'westside-southbay', 'sfv': 'SF valley', 'lac': 'central LA', 'sgv': 'san gabriel valley', 'lgb': 'long beach / 562', 'ant': 'antelope valley'}"
203,"louisville, KY",louisville,
204,"lubbock, TX",lubbock,
205,"lynchburg, VA",lynchburg,
206,macon / warner robins,macon,
207,"madison, WI",madison,
208,maine,maine,
209,"manhattan, KS",ksu,
210,"mankato, MN",mankato,
211,"mansfield, OH",mansfield,
212,"mason city, IA",masoncity,
213,mattoon-charleston,mattoon,
214,mcallen / edinburg,mcallen,
215,"meadville, PA",meadville,
216,medford-ashland,medford,
217,"memphis, TN",memphis,
218,mendocino county,mendocino,
219,"merced, CA",merced,
220,"meridian, MS",meridian,
221,"milwaukee, WI",milwaukee,
222,minneapolis / st paul,minneapolis,"{'hnp': 'hennepin co', 'ram': 'ramsey co', 'ank': 'anok/chis/isa', 'wsh': 'washington/WI', 'dak': 'dakota/scott', 'csw': 'carv/sher/wri'}"
223,"missoula, MT",missoula,
224,"mobile, AL",mobile,
225,"modesto, CA",modesto,
226,mohave county,mohave,
227,"monroe, LA",monroe,
228,"monroe, MI",monroemi,
229,monterey bay,monterey,
230,"montgomery, AL",montgomery,
231,"morgantown, WV",morgantown,
232,"moses lake, WA",moseslake,
233,muncie / anderson,muncie,
234,"muskegon, MI",muskegon,
235,"myrtle beach, SC",myrtlebeach,
236,"nashville, TN",nashville,
237,new hampshire,nh,
238,"new haven, CT",newhaven,
239,new orleans,neworleans,
240,new river valley,blacksburg,
241,new york city,newyork,"{'mnh': 'manhattan', 'brk': 'brooklyn', 'que': 'queens', 'brx': 'bronx', 'stn': 'staten island', 'jsy': 'new jersey', 'lgi': 'long island', 'wch': 'westchester', 'fct': 'fairfield'}"
242,norfolk / hampton roads,norfolk,
243,north central FL,lakecity,
244,north dakota,nd,
245,northeast SD,nesd,
246,northern michigan,nmi,
247,northern panhandle,wheeling,
248,northern WI,northernwi,
249,north jersey,newjersey,
250,north mississippi,northmiss,
251,"north platte, NE",northplatte,
252,northwest CT,nwct,
253,northwest GA,nwga,
254,northwest KS,nwks,
255,northwest OK,enid,
256,"ocala, FL",ocala,
257,odessa / midland,odessa,
258,ogden-clearfield,ogden,
259,okaloosa / walton,okaloosa,
260,oklahoma city,oklahomacity,
261,olympic peninsula,olympic,
262,omaha / council bluffs,omaha,
263,"oneonta, NY",oneonta,
264,"orange county, CA",orangecounty,
265,oregon coast,oregoncoast,
266,"orlando, FL",orlando,
267,outer banks,outerbanks,
268,"owensboro, KY",owensboro,
269,"palm springs, CA",palmsprings,
270,"panama city, FL",panamacity,
271,parkersburg-marietta,parkersburg,
272,"pensacola, FL",pensacola,
273,"peoria, IL",peoria,
274,philadelphia,philadelphia,
275,"phoenix, AZ",phoenix,"{'cph': 'central/south phx', 'evl': 'east valley', 'nph': 'phx north', 'wvl': 'west valley'}"
276,pierre / central SD,csd,
277,"pittsburgh, PA",pittsburgh,
278,plattsburgh-adirondacks,plattsburgh,
279,poconos,poconos,
280,"port huron, MI",porthuron,
281,"portland, OR",portland,"{'mlt': 'multnomah co', 'wsc': 'washington co', 'clk': 'clark/cowlitz', 'clc': 'clackamas co', 'nco': 'north coast', 'yam': 'yamhill co', 'grg': 'columbia gorge'}"
282,potsdam-canton-massena,potsdam,
283,"prescott, AZ",prescott,
284,provo / orem,provo,
285,"pueblo, CO",pueblo,
286,pullman / moscow,pullman,
287,"quad cities, IA/IL",quadcities,
288,raleigh / durham / CH,raleigh,
289,rapid city / west SD,rapidcity,
290,"reading, PA",reading,
291,"redding, CA",redding,
292,reno / tahoe,reno,
293,rhode island,providence,
294,"richmond, IN",richmondin,
295,"richmond, VA",richmond,
296,"roanoke, VA",roanoke,
297,"rochester, MN",rmn,
298,"rochester, NY",rochester,
299,"rockford, IL",rockford,
300,"roseburg, OR",roseburg,
301,roswell / carlsbad,roswell,
302,sacramento,sacramento,
303,saginaw-midland-baycity,saginaw,
304,"salem, OR",salem,
305,"salina, KS",salina,
306,salt lake city,saltlakecity,
307,"san angelo, TX",sanangelo,
308,san antonio,sanantonio,
309,san diego,sandiego,"{'csd': 'city of san diego', 'nsd': 'north SD county', 'esd': 'east SD county', 'ssd': 'south SD county'}"
310,"sandusky, OH",sandusky,
311,san luis obispo,slo,
312,"san marcos, TX",sanmarcos,
313,santa barbara,santabarbara,
314,santa fe / taos,santafe,
315,"santa maria, CA",santamaria,
316,sarasota-bradenton,sarasota,
317,savannah / hinesville,savannah,
318,scottsbluff / panhandle,scottsbluff,
319,scranton / wilkes-barre,scranton,
320,seattle-tacoma,seattle,"{'see': 'seattle', 'est': 'eastside', 'sno': 'snohomish co', 'kit': 'kitsap co', 'tac': 'tacoma', 'oly': 'olympia', 'skc': 'south king'}"
321,SF bay area,sfbay,"{'sfc': 'san francisco', 'sby': 'south bay', 'eby': 'east bay', 'pen': 'peninsula', 'nby': 'north bay', 'scz': 'santa cruz'}"
322,"sheboygan, WI",sheboygan,
323,"show low, AZ",showlow,
324,"shreveport, LA",shreveport,
325,"sierra vista, AZ",sierravista,
326,"sioux city, IA",siouxcity,
327,sioux falls / SE SD,siouxfalls,
328,siskiyou county,siskiyou,
329,skagit / island / SJI,skagit,
330,south bend / michiana,southbend,
331,"south coast, MA",southcoast,
332,south dakota,sd,
333,southeast alaska,juneau,
334,southeast IA,ottumwa,
335,southeast KS,seks,
336,southeast missouri,semo,
337,southern illinois,carbondale,
338,southern maryland,smd,
339,southern WV,swv,
340,south florida,miami,"{'mdc': 'miami / dade', 'brw': 'broward county', 'pbc': 'palm beach co'}"
341,south jersey,southjersey,
342,southwest KS,swks,
343,southwest michigan,swmi,
344,southwest MN,marshall,
345,southwest MS,natchez,
346,southwest TX,bigbend,
347,southwest VA,swva,
348,"space coast, FL",spacecoast,
349,spokane / coeur d'alene,spokane,
350,"springfield, IL",springfieldil,
351,"springfield, MO",springfield,
352,"state college, PA",pennstate,
353,"statesboro, GA",statesboro,
354,"st augustine, FL",staugustine,
355,"st cloud, MN",stcloud,
356,"st george, UT",stgeorge,
357,"stillwater, OK",stillwater,
358,st joseph,stjoseph,
359,"st louis, MO",stlouis,
360,"stockton, CA",stockton,
361,"susanville, CA",susanville,
362,"syracuse, NY",syracuse,
363,tallahassee,tallahassee,
364,tampa bay area,tampa,"{'hdo': 'hernando co', 'hil': 'hillsborough co', 'psc': 'pasco co', 'pnl': 'pinellas co'}"
365,"terre haute, IN",terrehaute,
366,texarkana,texarkana,
367,texoma,texoma,
368,"the thumb, MI",thumb,
369,"toledo, OH",toledo,
370,"topeka, KS",topeka,
371,"treasure coast, FL",treasure,
372,"tri-cities, TN",tricities,
373,"tucson, AZ",tucson,
374,"tulsa, OK",tulsa,
375,tuscaloosa,tuscaloosa,
376,tuscarawas co,tuscarawas,
377,"twin falls, ID",twinfalls,
378,twin tiers NY/PA,twintiers,
379,tyler / east TX,easttexas,
380,"upper peninsula, MI",up,
381,utica-rome-oneida,utica,
382,"valdosta, GA",valdosta,
383,ventura county,ventura,
384,vermont,vermont,
385,"victoria, TX",victoriatx,
386,visalia-tulare,visalia,
387,"waco, TX",waco,
388,"washington, DC",washingtondc,"{'doc': 'district of columbia', 'nva': 'northern virginia', 'mld': 'maryland'}"
389,waterloo / cedar falls,waterloo,
390,"watertown, NY",watertown,
391,"wausau, WI",wausau,
392,"wenatchee, WA",wenatchee,
393,western IL,quincy,
394,western KY,westky,
395,western maryland,westmd,
396,western massachusetts,westernmass,
397,western slope,westslope,
398,west virginia (old),wv,
399,"wichita falls, TX",wichitafalls,
400,"wichita, KS",wichita,
401,"williamsport, PA",williamsport,
402,"wilmington, NC",wilmington,
403,"winchester, VA",winchester,
404,"winston-salem, NC",winstonsalem,
405,worcester / central MA,worcester,
406,wyoming,wyoming,
407,"yakima, WA",yakima,
408,"york, PA",york,
409,"youngstown, OH",youngstown,
410,"yuba-sutter, CA",yubasutter,
411,"yuma, AZ",yuma,
412,zanesville / cambridge,zanesville,
